Lot Frontage,Lot Area,Neighborhood,House Style,Overall Qual,Year Built,Exterior 1st,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Bedroom AbvGr,Kitchen Qual,Fireplaces,Garage Type,Garage Finish,Garage Area,Paved Drive,Total Outdoor SF (Porch),Total Bath,SalePrice
84.0,10440,Somerst,1Story,6,2005,VinylSd,0.0,Gd,PConc,Ex,TA,No,GLQ,1468.0,Ex,Y,SBrkr,1468,0,2,Gd,1,Attchd,Fin,528.0,Y,318,3.0,271500
76.0,10142,SawyerW,2Story,7,2004,VinylSd,0.0,Gd,PConc,Gd,TA,No,GLQ,956.0,Ex,Y,SBrkr,956,1128,4,Gd,0,BuiltIn,RFn,618.0,Y,45,3.5,233000
70.0,11920,SawyerW,2Story,7,2004,VinylSd,122.0,Gd,PConc,Gd,TA,Av,Unf,831.0,Ex,Y,SBrkr,831,828,3,Gd,0,Attchd,RFn,484.0,Y,212,2.5,181000
67.0,8880,SawyerW,2Story,7,1994,VinylSd,0.0,Gd,PConc,Gd,TA,No,GLQ,948.0,Ex,Y,SBrkr,1222,888,3,Gd,2,Attchd,RFn,463.0,Y,130,3.5,205000
50.0,8012,SawyerW,1Story,6,1980,Plywood,0.0,TA,CBlock,Gd,TA,No,BLQ,923.0,TA,Y,SBrkr,923,0,2,TA,1,Attchd,RFn,264.0,Y,80,2.0,143000
70.0,11218,SawyerW,2Story,6,1992,Wd Sdng,0.0,Gd,PConc,Gd,TA,No,Unf,1055.0,Ex,Y,SBrkr,1055,790,3,Gd,1,Attchd,RFn,462.0,Y,739,2.5,189000
55.0,7892,SawyerW,1Story,6,1979,Plywood,0.0,TA,CBlock,Gd,TA,No,Unf,918.0,TA,Y,SBrkr,918,0,2,TA,1,Attchd,Unf,264.0,Y,28,2.0,99500
50.0,7175,SawyerW,1Story,6,1984,Plywood,0.0,TA,CBlock,Gd,TA,No,ALQ,744.0,TA,Y,SBrkr,752,0,2,TA,0,Attchd,Unf,264.0,Y,443,2.0,125000
67.0,9453,SawyerW,2Story,7,1993,HdBoard,0.0,Gd,PConc,Gd,TA,No,BLQ,996.0,Ex,Y,SBrkr,1014,730,3,Gd,0,Attchd,RFn,457.0,Y,440,2.5,194500
81.0,9672,SawyerW,1Story,6,1984,HdBoard,0.0,TA,PConc,Gd,TA,No,GLQ,1040.0,TA,Y,SBrkr,1097,0,3,TA,0,Attchd,Unf,480.0,Y,0,2.0,152000
70.0,8400,SawyerW,2Story,6,1980,HdBoard,130.0,TA,CBlock,Gd,TA,No,Unf,650.0,TA,Y,SBrkr,888,676,3,TA,1,Attchd,Unf,476.0,Y,254,2.5,171000
70.0,9800,SawyerW,1Story,5,1920,Wd Sdng,0.0,TA,BrkTil,TA,TA,No,Unf,816.0,TA,N,FuseA,1012,0,2,TA,0,Detchd,Unf,429.0,Y,201,1.0,67500
68.0,8930,Sawyer,1.5Fin,6,1978,VinylSd,0.0,TA,Slab,None,None,None,None,0.0,TA,Y,SBrkr,1318,584,4,TA,0,Attchd,Unf,539.0,Y,0,2.0,112000
88.0,11782,Sawyer,SFoyer,5,1961,HdBoard,0.0,TA,CBlock,TA,TA,Av,ALQ,1109.0,TA,Y,SBrkr,1155,0,3,Gd,0,Detchd,Unf,576.0,Y,192,2.0,148000
65.0,8450,Sawyer,1Story,5,1965,MetalSd,0.0,TA,CBlock,TA,TA,No,GLQ,894.0,Ex,Y,SBrkr,894,0,3,TA,1,Detchd,Unf,336.0,Y,560,2.0,138500
72.0,9819,Sawyer,1Story,5,1967,MetalSd,31.0,TA,CBlock,TA,TA,No,BLQ,882.0,TA,Y,SBrkr,900,0,3,TA,0,Detchd,Unf,280.0,Y,0,1.0,122000
75.0,7500,Sawyer,1Story,5,1963,HdBoard,0.0,TA,CBlock,TA,TA,No,ALQ,1040.0,Fa,Y,SBrkr,1040,0,3,TA,0,Attchd,Fin,308.0,Y,220,2.5,133000
72.0,6897,Sawyer,1Story,5,1962,HdBoard,0.0,TA,CBlock,TA,TA,No,ALQ,1040.0,Ex,Y,SBrkr,1040,0,3,TA,0,Detchd,Unf,260.0,Y,104,2.5,127000
39.0,15410,Sawyer,1Story,6,1974,Plywood,250.0,TA,CBlock,TA,TA,Gd,BLQ,1208.0,Ex,Y,SBrkr,1494,0,3,TA,2,Attchd,Fin,461.0,Y,482,3.0,169000
107.0,10186,NoRidge,2Story,7,1992,HdBoard,0.0,Gd,PConc,Gd,TA,No,GLQ,750.0,Ex,Y,SBrkr,1061,862,3,Gd,1,Attchd,RFn,564.0,Y,279,3.5,190000
85.0,13143,NoRidge,2Story,8,1993,HdBoard,504.0,Gd,PConc,Gd,TA,No,LwQ,1231.0,Ex,Y,SBrkr,1251,1098,4,Gd,1,Attchd,RFn,762.0,Y,162,3.5,362500
88.0,11134,NoRidge,2Story,8,1992,HdBoard,180.0,Gd,PConc,Gd,TA,No,GLQ,1390.0,Ex,Y,SBrkr,1402,823,4,Gd,1,Attchd,RFn,713.0,Y,228,3.5,285000
25.0,4835,Somerst,1Story,7,2004,MetalSd,0.0,Gd,PConc,Ex,TA,Av,GLQ,1488.0,Ex,Y,SBrkr,1488,0,2,Gd,1,Attchd,Fin,506.0,Y,218,3.0,260000
39.0,3515,Somerst,2Story,7,2004,VinylSd,0.0,Gd,PConc,Gd,TA,No,Unf,840.0,Ex,Y,SBrkr,840,840,2,Gd,0,Attchd,RFn,588.0,Y,111,2.5,190000
30.0,3215,Somerst,2Story,7,2004,MetalSd,120.0,Gd,PConc,Gd,TA,Av,GLQ,600.0,Ex,Y,SBrkr,600,600,2,Gd,0,Detchd,RFn,480.0,Y,172,2.5,155000
30.0,3182,Somerst,2Story,7,2004,MetalSd,0.0,Gd,PConc,Gd,TA,No,Unf,600.0,Ex,Y,SBrkr,600,600,2,Gd,0,Detchd,RFn,480.0,Y,172,2.5,151000
24.0,2544,Somerst,2Story,7,2004,MetalSd,0.0,Gd,PConc,Gd,TA,No,GLQ,600.0,Ex,Y,SBrkr,600,600,2,Gd,0,Detchd,RFn,480.0,Y,172,3.5,149500
24.0,2544,Somerst,2Story,6,2005,VinylSd,216.0,Gd,PConc,Gd,TA,No,GLQ,600.0,Ex,Y,SBrkr,600,636,2,Gd,0,Detchd,RFn,480.0,Y,166,3.5,152000
72.5,4403,Somerst,1Story,7,2009,MetalSd,432.0,Ex,PConc,Ex,TA,Av,GLQ,1470.0,Ex,Y,SBrkr,1478,0,2,Gd,1,Attchd,Fin,484.0,Y,144,3.5,222000
72.5,2117,Somerst,2Story,6,2000,MetalSd,216.0,Gd,PConc,Gd,TA,No,GLQ,756.0,Ex,Y,SBrkr,769,804,3,Gd,0,Detchd,Unf,440.0,Y,32,2.5,177500
72.5,2980,Somerst,2Story,6,2000,MetalSd,1159.0,Gd,PConc,Gd,TA,No,GLQ,756.0,Ex,Y,SBrkr,756,756,2,Gd,0,Detchd,Unf,440.0,Y,32,3.5,177000
24.0,2572,Somerst,2Story,7,1999,MetalSd,0.0,Gd,PConc,Gd,TA,No,ALQ,696.0,Ex,Y,SBrkr,696,720,3,Gd,0,Detchd,Unf,484.0,Y,44,3.5,155000
72.5,2403,Somerst,2Story,7,2003,VinylSd,0.0,Gd,PConc,Gd,TA,No,GLQ,530.0,Ex,Y,SBrkr,530,550,2,Gd,0,Attchd,RFn,496.0,Y,50,2.5,147110
57.0,12853,Somerst,1Story,8,2010,CemntBd,0.0,Gd,PConc,Ex,Po,No,GLQ,1642.0,Ex,Y,SBrkr,1418,0,1,Gd,1,Attchd,RFn,852.0,Y,352,2.5,267916
68.0,7379,Somerst,2Story,8,2000,VinylSd,0.0,Gd,PConc,Gd,TA,No,GLQ,975.0,Ex,Y,SBrkr,975,873,3,Gd,1,Attchd,RFn,592.0,Y,464,3.5,254000
30.0,4420,Greens,1Story,8,1980,Wd Sdng,0.0,Gd,CBlock,Gd,TA,Gd,GLQ,728.0,TA,Y,SBrkr,788,0,1,Gd,1,Detchd,Fin,484.0,Y,175,2.0,155000
40.0,3880,Greens,1Story,8,1978,Wd Sdng,0.0,Gd,CBlock,Gd,TA,Gd,GLQ,1226.0,TA,Y,SBrkr,1226,0,1,Gd,1,Attchd,Fin,484.0,Y,301,2.0,206000
72.0,13517,Sawyer,2Story,6,1976,HdBoard,289.0,Gd,CBlock,TA,TA,No,GLQ,725.0,Ex,Y,SBrkr,725,754,3,Gd,0,Attchd,RFn,475.0,Y,44,2.5,130500
80.0,8000,Somerst,1Story,7,2002,VinylSd,0.0,Gd,PConc,Gd,TA,No,GLQ,1492.0,Ex,Y,SBrkr,1492,0,3,Gd,1,Attchd,RFn,596.0,Y,414,3.0,230000
80.0,10456,NWAmes,1Story,6,1967,HdBoard,120.0,TA,CBlock,TA,TA,No,GLQ,1829.0,Gd,Y,SBrkr,1829,0,4,TA,0,Attchd,RFn,535.0,Y,76,3.0,218500
80.0,10791,NWAmes,2Story,6,1993,MetalSd,0.0,TA,PConc,Gd,TA,Mn,GLQ,1280.0,Ex,Y,SBrkr,1280,1215,4,Gd,1,Attchd,Unf,660.0,Y,256,3.5,243500
80.0,10603,NWAmes,1Story,6,1977,Plywood,28.0,TA,PConc,TA,TA,Mn,ALQ,1610.0,Gd,Y,SBrkr,1610,0,3,Gd,2,Attchd,RFn,480.0,Y,236,3.0,205000
80.0,18837,NWAmes,1.5Fin,6,1978,MetalSd,0.0,TA,PConc,Gd,TA,Mn,ALQ,1224.0,TA,Y,SBrkr,1287,604,3,TA,1,Attchd,RFn,678.0,Y,69,3.5,212500
80.0,10421,NWAmes,2Story,7,1988,HdBoard,42.0,TA,CBlock,Gd,TA,No,GLQ,980.0,TA,Y,SBrkr,980,734,3,TA,1,Attchd,Unf,496.0,Y,450,2.5,196500
78.0,9360,NWAmes,1Story,6,1972,Plywood,0.0,TA,CBlock,TA,TA,No,ALQ,1161.0,TA,Y,SBrkr,1381,0,3,Gd,1,Attchd,RFn,676.0,Y,0,2.5,197500
80.0,9600,NWAmes,2Story,6,1971,MetalSd,0.0,TA,CBlock,TA,TA,No,ALQ,715.0,TA,Y,SBrkr,930,715,4,TA,0,Attchd,RFn,441.0,Y,78,2.0,171000
80.0,9600,NAmes,1Story,5,1966,VinylSd,172.0,TA,CBlock,TA,TA,No,Rec,1232.0,TA,Y,SBrkr,1232,0,3,TA,0,Attchd,RFn,490.0,Y,224,2.5,142250
80.0,9790,NWAmes,1Story,6,1963,HdBoard,451.0,TA,CBlock,TA,TA,No,ALQ,1328.0,TA,Y,SBrkr,1328,0,3,TA,2,Attchd,Unf,528.0,Y,26,2.5,143000
77.0,9320,NAmes,1Story,4,1959,Plywood,0.0,TA,CBlock,TA,TA,No,ALQ,950.0,Fa,Y,SBrkr,1225,0,3,TA,0,None,None,0.0,Y,352,2.5,128950
90.0,9900,NAmes,1Story,5,1966,HdBoard,0.0,TA,PConc,Gd,TA,No,BLQ,1209.0,Gd,Y,SBrkr,1209,0,3,TA,0,Attchd,RFn,504.0,Y,120,2.0,159000
88.0,9680,NAmes,1Story,5,1967,Wd Sdng,268.0,TA,CBlock,TA,TA,No,BLQ,1510.0,Ex,Y,SBrkr,1510,0,3,Gd,0,Attchd,RFn,517.0,Y,244,3.0,178900
73.0,10600,NAmes,SLvl,6,1964,HdBoard,0.0,TA,CBlock,TA,TA,No,Unf,533.0,TA,Y,SBrkr,1131,644,3,TA,0,Attchd,Unf,480.0,Y,172,2.0,136300
73.0,14112,NAmes,SLvl,5,1964,Wd Sdng,86.0,TA,PConc,TA,TA,Av,GLQ,1152.0,TA,Y,SBrkr,1152,0,3,TA,1,Attchd,RFn,484.0,Y,227,2.0,180500
80.0,8800,NAmes,SFoyer,6,1963,MetalSd,156.0,TA,PConc,TA,TA,Gd,GLQ,936.0,Ex,Y,SBrkr,1054,0,3,Gd,0,Attchd,RFn,480.0,Y,120,2.0,137500
